Coordinates,Timestamp,Velocity,force,azimuth
"645.0,888.0",582643.86,438.48468776264326,0.5910916646321615,-0.06325848499802231
"650.5,887.5",582643.869,437.4809333957791,0.5759876251220704,-0.06325848499802231
"655.0,886.5",582643.877,436.28019618971507,0.5756299336751302,-0.06325848499802231
"660.0,886.0",582643.8849999999,435.42681291382866,0.5734981536865235,-0.06325848499802231
"665.0,885.5",582643.894,434.38079857449367,0.5737753550211588,-0.06325848499802231
"669.0,885.5",582643.9019999999,433.56427690153043,0.5720809936523438,-0.06325848499802231
"674.0,885.0",582643.9099999999,432.76464849899435,0.571832784016927,-0.06325848499802231
"679.5,884.5",582643.919,431.8855644000099,0.5699453989664713,-0.06325848499802231
"683.5,883.5",582643.9269999999,430.6894356938711,0.5739067077636719,-0.06325848499802231
"688.0,882.5",582643.9349999999,429.62231953233646,0.5737031300862631,-0.06325848499802231
"693.0,881.0",582643.9439999999,428.2729833270038,0.5757545471191406,-0.06185467640427039
"698.0,879.0",582643.9519999999,426.94298837197454,0.5762485504150391,-0.05926068226364582
"702.5,877.5",582643.96,425.7306881563429,0.5764102935791016,-0.05678875843552158
"707.0,875.5",582643.9689999999,424.1346197529462,0.5762556711832683,-0.0540421764042699
"711.0,874.5",582643.977,423.05441498841884,0.5763965606689453,-0.051463441052710425
"715.0,873.0",582643.985,421.7879927456402,0.5771617889404297,-0.04876263538864492
"720.0,871.5",582643.994,420.576559221794,0.5772978464762369,-0.045817689099583454
"723.5,870.5",582644.002,419.43262065598077,0.5822884877522786,-0.04279644886520858
"727.5,869.5",582644.0099999999,418.4200210192337,0.5826382954915365,-0.039943055310521544
"732.0,868.5",582644.019,417.3484271965407,0.6044876098632812,-0.036570862927707476
"736.0,867.0",582644.0269999999,416.1720186798893,0.6080364227294922,-0.03365643421677205
"740.5,865.5",582644.0349999999,415.13110436752,0.6068892161051432,-0.03061993519333505
"744.5,864.5",582644.044,413.9952437763765,0.603683598836263,-0.027263001599584
"748.5,863.0",582644.0519999999,412.87076097956157,0.6071211496988932,-0.024394349255836043
"752.0,861.5",582644.0599999999,411.64365844542,0.6084833780924479,-0.02141888538864558
"756.0,859.5",582644.0689999999,410.17854189010575,0.6109010060628255,-0.017985657849585092
"760.0,857.5",582644.0769999999,408.9174103373619,0.6072676340738933,-0.014888123669895113
"764.0,855.0",582644.085,407.48797031320976,0.6074133555094401,-0.011424378552709486
"768.0,852.0",582644.0939999999,405.7139469155779,0.6118712107340495,-0.007396058240208205
"771.5,850.0",582644.102,404.3911247551593,0.6134744008382161,-0.0030778209355224323
"775.5,847.5",582644.11,403.02447686738344,0.626236089070638,0.0015150745722901802
"779.0,845.0",582644.119,401.3793445983534,0.6338839213053385,0.0064284046504146175
"783.0,842.5",582644.127,400.0536487321998,0.6375999450683594,0.011219664416042902
"786.5,840.0",582644.1349999999,398.6242070843856,0.6429448445638021,0.016102476916041206
"790.5,837.5",582644.144,397.1650945615094,0.647397232055664,0.021656676134790696
"794.0,835.0",582644.1519999999,395.77443178682955,0.6432802836100261,0.02685992320510392
"797.5,832.0",582644.1599999999,394.22654645378867,0.6471215565999349,0.03244464000197633
"801.5,828.5",582644.169,392.48182243203223,0.6390858968098958,0.03882281383010351
"805.0,825.5",582644.1769999999,390.9776483729345,0.6407548268636067,0.0453383167597898
"808.5,822.0",582644.1849999999,389.3219477798696,0.6388392130533854,0.05250994761916763
"812.0,817.5",582644.1939999999,387.18362044013395,0.6353494008382161,0.06041400035353964
"815.0,813.5",582644.2019999999,385.28002613959234,0.6348211924235027,0.06822650035354172
"819.0,809.0",582644.21,383.48796065218636,0.6338762919108073,0.07603900035354393
"822.5,805.0",582644.2189999999,381.6014303740832,0.6328117370605468,0.08543841441604179
"826.0,801.0",582644.227,379.90058733759076,0.6335028330485026,0.09479205211135278
"829.0,797.0",582644.235,378.0942409613568,0.6332136789957682,0.10438983043166362
"832.5,793.0",582644.244,376.2839987744075,0.6428356170654297,0.11449114879103998
"835.5,789.5",582644.252,374.68570567285553,0.6437629699707031,0.12340228160354465
"838.5,785.5",582644.2599999999,372.9474607449227,0.6562487284342448,0.13298480113479283
"842.5,781.0",582644.269,371.1823561936769,0.6645601908365886,0.14363543590041722
"846.0,777.0",582644.2769999999,369.62318734615593,0.6680347442626953,0.15367571910354202
"850.0,773.0",582644.2849999999,368.21889292687166,0.6717135111490885,0.16405169566603525
"853.5,768.5",582644.294,366.4016662568454,0.6767748514811198,0.17511431773635677
"857.0,764.0",582644.3019999999,364.7597588251328,0.6722749074300131,0.18594805797072345
"861.5,759.0",582644.311,363.11163897045026,0.6766798655192058,0.19731585582229502
"865.0,754.5",582644.3189999999,361.52243024839004,0.6721110026041667,0.2090651234004174
"869.0,750.5",582644.3269999999,360.2412758438193,0.6738416035970052,0.22066180308791725
"873.0,746.5",582644.3359999999,358.83888048453537,0.6718730926513672,0.23271624644728692
"876.0,742.5",582644.3439999999,357.33190635104364,0.6695652008056641,0.24458758433791172
"879.0,738.5",582644.352,355.8452745102603,0.6700505574544271,0.25566546519728667
"883.0,734.5",582644.3609999999,354.51121795626324,0.6697790781656902,0.267292662462909
"886.0,730.5",582644.369,353.0665163558644,0.6699194590250651,0.27844683726760483
"889.5,726.5",582644.377,351.7788727133163,0.6693036397298177,0.28943316539259617
"893.0,722.5",582644.3859999999,350.37409159871714,0.6697212219238281,0.3009993275019733
"896.0,718.5",582644.394,348.99007734892075,0.6736773173014323,0.3123823841426027
"899.5,714.5",582644.4019999999,347.76370402006415,0.6739476521809896,0.3233992298457224
"903.0,710.0",582644.411,346.2864164358115,0.6839786529541015,0.33498065074417227
"906.0,706.0",582644.419,344.96273074400904,0.6860777537027994,0.3454481800410419
"909.5,702.0",582644.4269999999,343.7972757997828,0.6881341298421224,0.35519854625197683
"913.0,698.0",582644.436,342.5193065147041,0.692629877726237,0.3659559925410492
"915.5,694.5",582644.4439999999,341.2444889844582,0.6949979146321614,0.3766066273066677
"918.5,691.0",582644.4519999999,340.1254304958866,0.6969890594482422,0.3869063099238552
"921.5,687.0",582644.4609999999,338.7640939044023,0.7000708262125651,0.3972670276972832
"924.5,683.5",582644.4689999999,337.6786805808836,0.6957533518473308,0.4066054066035302
"927.0,679.5",582644.477,336.34133480792104,0.6965226491292318,0.41505877574416294
"930.5,675.5",582644.4859999999,335.17696006162606,0.6942621866861979,0.42470233043165784
"933.5,671.5",582644.494,334.0167627879425,0.6924638112386068,0.43483416636915756
"936.0,667.5",582644.502,332.73237065580764,0.6927703857421875,0.4449049671504284
"938.5,663.5",582644.5109999999,331.34082945005287,0.691705322265625,0.4555098255488563
"940.5,660.0",582644.519,330.069782363797,0.6916234334309895,0.46542803843947017
"943.0,656.0",582644.5269999999,328.83507797860517,0.6914000193277995,0.47427813609573644
"945.0,652.0",582644.536,327.35312523772393,0.6914000193277995,0.48373858531446656
"947.0,648.5",582644.544,326.12712490693923,0.6913716634114583,0.4929854114863568
"949.0,644.5",582644.5519999999,324.7981830814268,0.6766175587972005,0.5009047230097846
"950.5,640.5",582644.561,323.2235671342553,0.6751909891764323,0.5088850696894683
"952.5,636.5",582644.5689999999,321.9266649059698,0.6640783945719401,0.5169264515254055
"954.0,632.5",582644.5769999999,320.50239252958596,0.660821533203125,0.5248152454707409
"955.5,627.5",582644.5859999999,318.7520553020175,0.6626941680908203,0.5338026722285494
"956.5,623.5",582644.5939999999,317.21769448077157,0.6587665557861329,0.5425459583613608
"957.5,619.5",582644.602,315.6980958623987,0.663098398844401,0.5499312122676084
"958.5,615.0",582644.6109999999,313.9702718325234,0.6597913106282552,0.5575758655879042
"959.0,611.0",582644.619,312.3384619320988,0.6644097646077474,0.5643507679316774
"960.0,606.0",582644.627,310.6489864063134,0.6640193939208985,0.571308775744156
"961.0,601.5",582644.6359999999,308.9740006681294,0.6657541910807292,0.5787855823847775
"961.5,597.0",582644.644,307.2830333373569,0.6688243865966796,0.5845381458613645
"962.5,592.5",582644.6519999999,305.7516305022731,0.6691177368164063,0.5893294056269827
"963.5,588.0",582644.661,304.1284962498385,0.6992301940917969,0.5954024036738487
"964.5,583.0",582644.669,302.5273925959962,0.7020355224609375,0.6005751331660376
"965.5,578.5",582644.6769999999,301.0456672306383,0.7038127899169921,0.6050154407832145
"967.0,573.5",582644.686,299.5181516561442,0.7092363993326823,0.6093184192988593
"968.5,568.5",582644.6939999999,298.1147009723148,0.7146994272867838,0.6127669056269653
"970.0,564.0",582644.7019999999,296.8273470139379,0.7205788930257161,0.6168867786738544
"971.0,559.0",582644.7109999999,295.2113077552725,0.718844223022461,0.6219832142207429
"972.5,554.5",582644.7189999999,293.9569241276736,0.7178841908772786,0.6257826526972975
"973.5,549.5",582644.727,292.47840700056474,0.7210557301839192,0.6295057972285342
"974.5,544.5",582644.7359999999,290.9167720971075,0.7143510182698568,0.6353651722285443
"975.5,539.5",582644.744,289.47355135118414,0.7150118509928386,0.6411024769160254
"976.0,534.5",582644.752,287.902437877493,0.712130355834961,0.6467787464472899
"977.0,530.0",582644.7609999999,286.48592270074835,0.7128974914550781,0.6522566517207143
"977.0,527.5",582644.7649999999,285.6424683941194,0.7253926595052084,0.6546522816035298
"977.0,525.5",582644.769,284.89290601251776,0.7260306040445964,0.6570936878535567
"977.5,521.0",582644.7769999999,283.4596054842634,0.7271687825520833,0.6622511585566521
"977.5,518.5",582644.7819999999,282.5357094197154,0.7422570546468099,0.6652723987910347
"977.5,516.5",582644.786,281.80018760378806,0.7435647328694661,0.6682326038691648
"977.5,512.5",582644.794,280.33869457143584,0.7414554595947266,0.6726881702754036
"977.5,508.5",582644.8019999999,278.88987944874145,0.7454076131184896,0.6765486439082147
"977.5,504.0",582644.811,277.2750334116571,0.746014149983724,0.6809889515254057
"977.5,500.0",582644.8189999999,275.8529382692683,0.7505739847819011,0.6850477894160447
"977.5,496.0",582644.8269999999,274.44331517630053,0.7446153004964192,0.6891524036738659
"977.0,491.5",582644.8359999999,272.7274821900974,0.7473547617594402,0.6932722767207176
"977.0,488.0",582644.8439999999,271.4261002816522,0.74154052734375,0.6959730823847995
"977.0,484.0",582644.852,270.0542425317843,0.7412424723307292,0.6983534534785357
"976.5,479.5",582644.8609999999,268.38084358254423,0.738635762532552,0.7012983997676157
"976.5,475.5",582644.869,267.03490252350656,0.7452401479085287,0.7039686878535255
"976.0,471.5",582644.8779999999,265.4691371039374,0.7457683563232422,0.7065931995723086
"976.0,467.5",582644.8859999999,264.1480076254628,0.7560049692789713,0.7082258900019778
"976.0,463.0",582644.894,262.7619838577927,0.7580417633056641,0.7095228870723015
